#7   3   1
 4.8 -18.844 -18.844 -18.844 -18.844 -18.844 -18.845 -18.845 -18.846 -18.847 -18.847 -18.847 -18.847 -18.847
 4.9 -18.667 -18.667 -18.667 -18.667 -18.668 -18.668 -18.668 -18.669 -18.669 -18.669 -18.669 -18.669 -18.669
 5.0 -18.526 -18.526 -18.526 -18.526 -18.526 -18.527 -18.527 -18.527 -18.527 -18.527 -18.528 -18.528 -18.528
 5.1 -18.416 -18.416 -18.416 -18.416 -18.416 -18.416 -18.417 -18.417 -18.417 -18.417 -18.417 -18.417 -18.417
 5.2 -18.333 -18.333 -18.333 -18.333 -18.333 -18.333 -18.333 -18.334 -18.334 -18.334 -18.334 -18.334 -18.334
 5.3 -18.272 -18.272 -18.272 -18.272 -18.272 -18.272 -18.273 -18.273 -18.273 -18.273 -18.273 -18.273 -18.273
 5.4 -18.228 -18.228 -18.228 -18.228 -18.228 -18.228 -18.228 -18.228 -18.228 -18.228 -18.228 -18.228 -18.228
 5.5 -18.199 -18.199 -18.199 -18.199 -18.199 -18.199 -18.199 -18.199 -18.199 -18.199 -18.200 -18.200 -18.200
 5.6 -18.183 -18.183 -18.183 -18.183 -18.183 -18.183 -18.183 -18.183 -18.183 -18.183 -18.183 -18.183 -18.183
 5.7 -18.177 -18.177 -18.177 -18.177 -18.177 -18.177 -18.177 -18.177 -18.177 -18.177 -18.177 -18.177 -18.177
 5.8 -18.178 -18.178 -18.178 -18.178 -18.178 -18.178 -18.179 -18.179 -18.179 -18.179 -18.179 -18.179 -18.179
 5.9 -18.187 -18.187 -18.187 -18.187 -18.187 -18.187 -18.187 -18.187 -18.187 -18.187 -18.187 -18.187 -18.187
 6.0 -18.200 -18.200 -18.200 -18.200 -18.200 -18.200 -18.200 -18.200 -18.201 -18.201 -18.201 -18.201 -18.201
 6.1 -18.2221 -18.2221 -18.2221 -18.2221 -18.2221 -18.2221 -18.2221 -18.2221 -18.2221 -18.2221 -18.2221 -18.2221 -18.2221
 6.2 -18.2432 -18.2432 -18.2432 -18.2432 -18.2432 -18.2432 -18.2432 -18.2432 -18.2432 -18.2432 -18.2432 -18.2432 -18.2432
 6.3 -18.2668 -18.2668 -18.2668 -18.2668 -18.2668 -18.2668 -18.2668 -18.2668 -18.2668 -18.2668 -18.2668 -18.2668 -18.2668
 6.4 -18.2926 -18.2926 -18.2926 -18.2926 -18.2926 -18.2926 -18.2926 -18.2926 -18.2926 -18.2926 -18.2926 -18.2926 -18.2926
 6.5 -18.3199 -18.3199 -18.3199 -18.3199 -18.3199 -18.3199 -18.3199 -18.3199 -18.3199 -18.3199 -18.3199 -18.3199 -18.3199
 6.6 -18.3485 -18.3485 -18.3485 -18.3485 -18.3485 -18.3485 -18.3485 -18.3485 -18.3485 -18.3485 -18.3485 -18.3485 -18.3485
 6.7 -18.3781 -18.3781 -18.3781 -18.3781 -18.3781 -18.3781 -18.3781 -18.3781 -18.3781 -18.3781 -18.3781 -18.3781 -18.3781
 6.8 -18.4085 -18.4085 -18.4085 -18.4085 -18.4085 -18.4085 -18.4085 -18.4085 -18.4085 -18.4085 -18.4085 -18.4085 -18.4085
 6.9 -18.4395 -18.4395 -18.4395 -18.4395 -18.4395 -18.4395 -18.4395 -18.4395 -18.4395 -18.4395 -18.4395 -18.4395 -18.4395
 7.0 -18.4709 -18.4709 -18.4709 -18.4709 -18.4709 -18.4709 -18.4709 -18.4709 -18.4709 -18.4709 -18.4709 -18.4709 -18.4709
 7.1 -18.5027 -18.5027 -18.5027 -18.5027 -18.5027 -18.5027 -18.5027 -18.5027 -18.5027 -18.5027 -18.5027 -18.5027 -18.5027
 7.2 -18.5348 -18.5348 -18.5348 -18.5348 -18.5348 -18.5348 -18.5348 -18.5348 -18.5348 -18.5348 -18.5348 -18.5348 -18.5348
 7.3 -18.5670 -18.5670 -18.5670 -18.5670 -18.5670 -18.5670 -18.5670 -18.5670 -18.5670 -18.5670 -18.5670 -18.5670 -18.5670
 7.4 -18.5994 -18.5994 -18.5994 -18.5994 -18.5994 -18.5994 -18.5994 -18.5994 -18.5994 -18.5994 -18.5994 -18.5994 -18.5994
 7.5 -18.6319 -18.6319 -18.6319 -18.6319 -18.6319 -18.6319 -18.6319 -18.6319 -18.6319 -18.6319 -18.6319 -18.6319 -18.6319
 7.6 -18.6644 -18.6644 -18.6644 -18.6644 -18.6644 -18.6644 -18.6644 -18.6644 -18.6644 -18.6644 -18.6644 -18.6644 -18.6644
 7.7 -18.6970 -18.6970 -18.6970 -18.6970 -18.6970 -18.6970 -18.6970 -18.6970 -18.6970 -18.6970 -18.6970 -18.6970 -18.6970
 7.8 -18.7295 -18.7295 -18.7295 -18.7295 -18.7295 -18.7295 -18.7295 -18.7295 -18.7295 -18.7295 -18.7295 -18.7295 -18.7295
 7.9 -18.7621 -18.7621 -18.7621 -18.7621 -18.7621 -18.7621 -18.7621 -18.7621 -18.7621 -18.7621 -18.7621 -18.7621 -18.7621
 8.0 -18.7946 -18.7946 -18.7946 -18.7946 -18.7946 -18.7946 -18.7946 -18.7946 -18.7946 -18.7946 -18.7946 -18.7946 -18.7946
 8.1 -18.8271 -18.8271 -18.8271 -18.8271 -18.8271 -18.8271 -18.8271 -18.8271 -18.8271 -18.8271 -18.8271 -18.8271 -18.8271
 8.2 -18.8595 -18.8595 -18.8595 -18.8595 -18.8595 -18.8595 -18.8595 -18.8595 -18.8595 -18.8595 -18.8595 -18.8595 -18.8595
 8.3 -18.8919 -18.8919 -18.8919 -18.8919 -18.8919 -18.8919 -18.8919 -18.8919 -18.8919 -18.8919 -18.8919 -18.8919 -18.8919
 8.4 -18.9242 -18.9242 -18.9242 -18.9242 -18.9242 -18.9242 -18.9242 -18.9242 -18.9242 -18.9242 -18.9242 -18.9242 -18.9242
 8.5 -18.9565 -18.9565 -18.9565 -18.9565 -18.9565 -18.9565 -18.9565 -18.9565 -18.9565 -18.9565 -18.9565 -18.9565 -18.9565
 8.6 -18.9886 -18.9886 -18.9886 -18.9886 -18.9886 -18.9886 -18.9886 -18.9886 -18.9886 -18.9886 -18.9886 -18.9886 -18.9886
 8.7 -19.0207 -19.0207 -19.0207 -19.0207 -19.0207 -19.0207 -19.0207 -19.0207 -19.0207 -19.0207 -19.0207 -19.0207 -19.0207
 8.8 -19.0527 -19.0527 -19.0527 -19.0527 -19.0527 -19.0527 -19.0527 -19.0527 -19.0527 -19.0527 -19.0527 -19.0527 -19.0527
 8.9 -19.0846 -19.0846 -19.0846 -19.0846 -19.0846 -19.0846 -19.0846 -19.0846 -19.0846 -19.0846 -19.0846 -19.0846 -19.0846
 9.0 -19.1164 -19.1164 -19.1164 -19.1164 -19.1164 -19.1164 -19.1164 -19.1164 -19.1164 -19.1164 -19.1164 -19.1164 -19.1164
