7 5 0
 1.0 -50.0000
 1.1 -50.0000
 1.2 -50.0000
 1.3 -49.6825
 1.4 -44.5112
 1.5 -40.3919
 1.6 -37.1086
 1.7 -34.4896
 1.8 -32.3983
 1.9 -30.7264
 2.0 -29.3875
 2.1 -28.3132
 2.2 -27.4490
 2.3 -26.7517
 2.4 -26.1870
 2.5 -25.7275
 2.6 -25.3517
 2.7 -25.0422
 2.8 -24.7855
 2.9 -24.5707
 3.0 -24.3892
 3.1 -24.2342
 3.2 -24.1002
 3.3 -23.9830
 3.4 -23.8792
 3.5 -23.7860
 3.6 -23.7013
 3.7 -23.6234
 3.8 -23.5433
 3.9 -23.2756
 4.0 -22.3890
 4.1 -21.4299
 4.2 -20.6507
 4.3 -20.0373
 4.4 -19.5579
 4.5 -19.1851
 4.6 -18.8971
 4.7 -18.6766
 4.8 -18.5095
 4.9 -18.3850
 5.0 -18.2943
 5.1 -18.2303
 5.2 -18.1877
 5.3 -18.1620
 5.4 -18.1498
 5.5 -18.1483
 5.6 -18.1552
 5.7 -18.1689
 5.8 -18.1879
 5.9 -18.2112
 6.0 -18.2378
 6.1 -18.2671
 6.2 -18.2986
 6.3 -18.3317
 6.4 -18.3662
 6.5 -18.4018
 6.6 -18.4382
 6.7 -18.4753
 6.8 -18.5129
 6.9 -18.5509
 7.0 -18.5893
 7.1 -18.6279
 7.2 -18.6667
 7.3 -18.7057
 7.4 -18.7448
 7.5 -18.7840
 7.6 -18.8233
 7.7 -18.8625
 7.8 -18.9018
 7.9 -18.9411
 8.0 -18.9804
 8.1 -19.0196
 8.2 -19.0588
 8.3 -19.0978
 8.4 -19.1367
 8.5 -19.1755
 8.6 -19.2141
 8.7 -19.2525
 8.8 -19.2906
 8.9 -19.3286
 9.0 -19.3663
